B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,label
1516.5,3050.5,2659.5,2613.0,2718.0,3064.0,2730.0,2626.5,2863.5,3540.0,3073.0,3170.0,tambang
1429.0,4652.5,3705.5,1858.0,2035.0,2320.0,3103.0,3533.5,3852.0,3600.0,4339.0,3780.5,tambang
1412.5,3932.0,3451.0,1509.0,1697.0,1937.0,2981.5,3327.0,3578.0,3294.0,3915.5,3457.0,tambang
2791.5,5090.5,4312.5,2724.0,2724.0,2801.0,2989.0,2996.5,3157.5,3304.0,3550.5,5534.0,tambang
1289.5,4919.5,3877.5,1501.0,1616.0,1652.0,1826.0,2038.5,2296.0,2652.0,2913.0,2423.0,tambang
1986.5,5029.5,4164.5,2459.0,2490.0,2592.0,2589.0,2611.0,2769.5,3357.5,3142.0,2789.0,tambang
1550.0,4179.0,3490.0,1665.0,1654.0,1769.0,1722.5,1759.5,1937.5,2195.5,2297.0,2116.5,tambang
1659.5,5821.0,5159.0,1969.0,2078.0,2212.0,2395.5,2478.5,2719.5,2922.5,3196.5,2708.5,tambang
1420.5,4359.0,3532.0,1606.0,1693.0,1759.0,1766.5,1836.0,2016.5,2313.5,2456.5,2214.0,tambang
1875.5,5043.5,4203.5,1894.0,1938.0,2077.0,2141.0,2316.0,2523.0,2730.0,3030.5,2713.5,tambang
758.0,3260.5,2132.0,484.5,754.0,875.0,1321.0,1866.5,2161.0,2468.5,2663.0,2340.0,tambang
5064.0,5163.5,3918.0,4766.0,4673.0,4697.0,5029.5,5051.5,5085.5,5128.5,5238.0,8321.5,tambang
2527.5,5236.5,4288.5,2534.0,2551.0,2597.0,2707.5,2986.5,3220.0,3544.5,3739.5,4814.5,tambang
3910.0,4034.5,3088.0,3538.0,3409.5,3437.0,3808.5,3928.0,3970.0,3799.0,4170.5,6766.0,tambang
1121.5,3790.0,2924.5,1063.0,1146.5,1228.0,1549.5,1917.5,2111.0,2273.5,2625.5,2224.0,tambang
2204.5,4919.0,4237.5,2039.0,2170.0,2331.0,2528.5,2696.0,2883.5,2965.0,3312.0,4873.0,tambang
1799.0,5290.0,4416.0,1237.0,1401.0,1545.0,2170.5,2414.5,2675.0,2796.5,3333.5,3090.5,tambang
1395.0,5160.0,4345.0,1968.0,2154.0,2391.0,2284.5,2396.5,2639.5,3288.5,3291.5,2510.0,tambang
1266.0,4872.5,4113.5,1342.0,1547.0,1830.0,2010.0,2148.5,2387.5,2537.0,2921.5,2446.5,tambang
1087.5,4110.0,3424.5,1461.0,1661.0,1849.0,1763.0,1899.5,2133.5,2525.5,2525.0,2072.0,tambang
1280.0,4467.0,3782.5,1290.0,1360.0,1433.0,1544.5,1662.0,1819.5,2078.0,2271.5,2109.5,tambang
2542.0,4405.0,3844.5,2780.0,2948.0,3157.0,3522.5,3537.0,3600.5,3600.0,3742.0,4756.0,tambang
2327.5,2629.5,2402.5,2024.0,2201.0,2343.0,2580.5,2475.5,2495.0,2264.0,2530.5,4314.0,tambang
2220.5,2439.0,2208.5,2254.0,2353.0,2423.0,2578.0,2469.0,2430.5,2313.5,2413.0,3911.5,tambang
4220.5,5476.0,4536.0,4089.0,4061.0,4132.0,4337.5,4303.0,4355.5,4373.0,4660.5,7588.5,tambang
1977.5,5075.5,4279.5,2276.0,2413.0,2533.0,2465.0,2579.5,2779.0,3220.5,3236.5,2708.5,tambang
